/home/rr568/.conda/envs/icu-benchmark/lib/python3.8/site-packages/lightgbm/engine.py:153: UserWarning: Found `early_stopping_rounds` in params. Will use it instead of argument
  _log_warning("Found `{}` in params. Will use it instead of argument".format(alias))
[LightGBM] [Warning] num_threads is set=10, n_jobs=-1 will be ignored. Current value: num_threads=10
[LightGBM] [Warning] early_stopping_round is set=200, early_stopping_rounds=200 will be ignored. Current value: early_stopping_round=200
[1]	valid_0's auc: 0.792688
[155]	valid_0's auc: 0.812096
[156]	valid_0's auc: 0.81212
[157]	valid_0's auc: 0.812171
[158]	valid_0's auc: 0.812224
[159]	valid_0's auc: 0.812251
[160]	valid_0's auc: 0.812289
[161]	valid_0's auc: 0.812357
[162]	valid_0's auc: 0.812438
[163]	valid_0's auc: 0.812471
[164]	valid_0's auc: 0.812516
[165]	valid_0's auc: 0.812551
[166]	valid_0's auc: 0.812661
[167]	valid_0's auc: 0.812697
[168]	valid_0's auc: 0.812764
[169]	valid_0's auc: 0.812802
[170]	valid_0's auc: 0.812846
[171]	valid_0's auc: 0.812877
[172]	valid_0's auc: 0.81292
[173]	valid_0's auc: 0.812949
[174]	valid_0's auc: 0.812961
[175]	valid_0's auc: 0.812998
[176]	valid_0's auc: 0.813049
[177]	valid_0's auc: 0.813186
[178]	valid_0's auc: 0.813213
[179]	valid_0's auc: 0.813256
[180]	valid_0's auc: 0.813282
[181]	valid_0's auc: 0.81335
[182]	valid_0's auc: 0.813391
[183]	valid_0's auc: 0.813393
[184]	valid_0's auc: 0.813422
[185]	valid_0's auc: 0.813451
[186]	valid_0's auc: 0.81349
[187]	valid_0's auc: 0.813561
[188]	valid_0's auc: 0.813596
[189]	valid_0's auc: 0.813667
[190]	valid_0's auc: 0.813734
[191]	valid_0's auc: 0.813827
[192]	valid_0's auc: 0.813854
[193]	valid_0's auc: 0.813903
[194]	valid_0's auc: 0.813957
[195]	valid_0's auc: 0.814042
[196]	valid_0's auc: 0.814062
[197]	valid_0's auc: 0.814112
[198]	valid_0's auc: 0.814179
[199]	valid_0's auc: 0.81422
[200]	valid_0's auc: 0.81426
[201]	valid_0's auc: 0.814298
[202]	valid_0's auc: 0.814379
[203]	valid_0's auc: 0.814435
[204]	valid_0's auc: 0.814461
[205]	valid_0's auc: 0.814535
[206]	valid_0's auc: 0.814601
[207]	valid_0's auc: 0.814652
[208]	valid_0's auc: 0.814683
[209]	valid_0's auc: 0.814751
[210]	valid_0's auc: 0.814789
[211]	valid_0's auc: 0.814843
[212]	valid_0's auc: 0.81489
[213]	valid_0's auc: 0.814929
[214]	valid_0's auc: 0.814993
[215]	valid_0's auc: 0.815065
[216]	valid_0's auc: 0.815115
[217]	valid_0's auc: 0.815133
[218]	valid_0's auc: 0.815169
[219]	valid_0's auc: 0.81521
[220]	valid_0's auc: 0.815252
[221]	valid_0's auc: 0.815264
[222]	valid_0's auc: 0.815319
[223]	valid_0's auc: 0.815364
[224]	valid_0's auc: 0.815399
[225]	valid_0's auc: 0.815439
[226]	valid_0's auc: 0.815462
[227]	valid_0's auc: 0.815519
[228]	valid_0's auc: 0.815576
[229]	valid_0's auc: 0.81563
[230]	valid_0's auc: 0.815672
[231]	valid_0's auc: 0.815695
[232]	valid_0's auc: 0.815745
[233]	valid_0's auc: 0.815788
[234]	valid_0's auc: 0.815846
[235]	valid_0's auc: 0.8159
[236]	valid_0's auc: 0.815952
[237]	valid_0's auc: 0.815998
[238]	valid_0's auc: 0.816038
[239]	valid_0's auc: 0.816079
[240]	valid_0's auc: 0.816134
[241]	valid_0's auc: 0.816214
[242]	valid_0's auc: 0.816266
[243]	valid_0's auc: 0.816315
[244]	valid_0's auc: 0.816362
[245]	valid_0's auc: 0.816415
[246]	valid_0's auc: 0.816478
[247]	valid_0's auc: 0.816521
[248]	valid_0's auc: 0.816559
[249]	valid_0's auc: 0.816604
[250]	valid_0's auc: 0.81664
[251]	valid_0's auc: 0.816686
[252]	valid_0's auc: 0.816738
[253]	valid_0's auc: 0.816802
[254]	valid_0's auc: 0.816839
[255]	valid_0's auc: 0.816916
[256]	valid_0's auc: 0.816981
[257]	valid_0's auc: 0.817035
[258]	valid_0's auc: 0.817075
[259]	valid_0's auc: 0.817121
[260]	valid_0's auc: 0.817172
[261]	valid_0's auc: 0.817238
[262]	valid_0's auc: 0.817305
[263]	valid_0's auc: 0.817345
[264]	valid_0's auc: 0.817386
[265]	valid_0's auc: 0.817425
[266]	valid_0's auc: 0.81747
[267]	valid_0's auc: 0.817507
[268]	valid_0's auc: 0.817555
[269]	valid_0's auc: 0.817621
[270]	valid_0's auc: 0.817683
[271]	valid_0's auc: 0.817705
[272]	valid_0's auc: 0.817731
[273]	valid_0's auc: 0.817782
[274]	valid_0's auc: 0.817822
[275]	valid_0's auc: 0.817876
[276]	valid_0's auc: 0.817935
[277]	valid_0's auc: 0.817995
[278]	valid_0's auc: 0.818051
[279]	valid_0's auc: 0.818101
[280]	valid_0's auc: 0.818155
[281]	valid_0's auc: 0.818216
[282]	valid_0's auc: 0.818253
[283]	valid_0's auc: 0.81832
[284]	valid_0's auc: 0.818363
[285]	valid_0's auc: 0.818399
[286]	valid_0's auc: 0.818448
[287]	valid_0's auc: 0.81851
[288]	valid_0's auc: 0.818569
[289]	valid_0's auc: 0.818621
[290]	valid_0's auc: 0.818659
[291]	valid_0's auc: 0.818708
[292]	valid_0's auc: 0.818769
[293]	valid_0's auc: 0.818809
[294]	valid_0's auc: 0.818839
[295]	valid_0's auc: 0.818875
[296]	valid_0's auc: 0.818928
[297]	valid_0's auc: 0.818976
[298]	valid_0's auc: 0.819028
[299]	valid_0's auc: 0.819077
[300]	valid_0's auc: 0.819134
[301]	valid_0's auc: 0.819189
[302]	valid_0's auc: 0.819225
[303]	valid_0's auc: 0.819277
[304]	valid_0's auc: 0.819319
[305]	valid_0's auc: 0.819367
[306]	valid_0's auc: 0.819401
[307]	valid_0's auc: 0.819475
[308]	valid_0's auc: 0.819504
[309]	valid_0's auc: 0.819563
[310]	valid_0's auc: 0.819603
[311]	valid_0's auc: 0.819633
[312]	valid_0's auc: 0.819673
[313]	valid_0's auc: 0.819729
[314]	valid_0's auc: 0.819806
[315]	valid_0's auc: 0.819856
[316]	valid_0's auc: 0.819909
[317]	valid_0's auc: 0.819962
[318]	valid_0's auc: 0.820034
[319]	valid_0's auc: 0.820077
[320]	valid_0's auc: 0.820104
[321]	valid_0's auc: 0.820177
[322]	valid_0's auc: 0.820214
[323]	valid_0's auc: 0.820259
[324]	valid_0's auc: 0.82031
[325]	valid_0's auc: 0.820371
[326]	valid_0's auc: 0.820408
[327]	valid_0's auc: 0.820435
[328]	valid_0's auc: 0.820465
[329]	valid_0's auc: 0.820518
[330]	valid_0's auc: 0.820548
[331]	valid_0's auc: 0.820591
[332]	valid_0's auc: 0.820638
[333]	valid_0's auc: 0.82068
[334]	valid_0's auc: 0.820712
[335]	valid_0's auc: 0.820763
[336]	valid_0's auc: 0.820794
[337]	valid_0's auc: 0.820846
[338]	valid_0's auc: 0.820892
[339]	valid_0's auc: 0.820936
[340]	valid_0's auc: 0.820972
[341]	valid_0's auc: 0.821032
[342]	valid_0's auc: 0.821069
[343]	valid_0's auc: 0.821104
[344]	valid_0's auc: 0.821149
[345]	valid_0's auc: 0.821199
[346]	valid_0's auc: 0.821247
[347]	valid_0's auc: 0.821286
[348]	valid_0's auc: 0.821335
[349]	valid_0's auc: 0.821363
[350]	valid_0's auc: 0.821417
[351]	valid_0's auc: 0.821452
[352]	valid_0's auc: 0.821508
[353]	valid_0's auc: 0.821549
[354]	valid_0's auc: 0.82158
[355]	valid_0's auc: 0.821626
[356]	valid_0's auc: 0.821682
[357]	valid_0's auc: 0.821717
[358]	valid_0's auc: 0.821746
[359]	valid_0's auc: 0.821779
[360]	valid_0's auc: 0.821823
[361]	valid_0's auc: 0.821861
[362]	valid_0's auc: 0.821893
[363]	valid_0's auc: 0.821934
[364]	valid_0's auc: 0.821975
[365]	valid_0's auc: 0.822021
[366]	valid_0's auc: 0.822048
[367]	valid_0's auc: 0.822093
[368]	valid_0's auc: 0.822136
[369]	valid_0's auc: 0.822184
[370]	valid_0's auc: 0.822215
[371]	valid_0's auc: 0.82225
[372]	valid_0's auc: 0.822306
[373]	valid_0's auc: 0.822344
[374]	valid_0's auc: 0.822373
[375]	valid_0's auc: 0.822416
[376]	valid_0's auc: 0.822454
[377]	valid_0's auc: 0.822492
[378]	valid_0's auc: 0.822528
[379]	valid_0's auc: 0.82255
[380]	valid_0's auc: 0.822586
[381]	valid_0's auc: 0.822627
[382]	valid_0's auc: 0.822657
[383]	valid_0's auc: 0.822708
[384]	valid_0's auc: 0.822747
[385]	valid_0's auc: 0.822789
[386]	valid_0's auc: 0.822821
[387]	valid_0's auc: 0.822854
[388]	valid_0's auc: 0.822896
[389]	valid_0's auc: 0.822922
[390]	valid_0's auc: 0.82295
[391]	valid_0's auc: 0.82298
[392]	valid_0's auc: 0.823008
[393]	valid_0's auc: 0.823057
[394]	valid_0's auc: 0.823091
[395]	valid_0's auc: 0.823131
[396]	valid_0's auc: 0.82318
[397]	valid_0's auc: 0.823208
[398]	valid_0's auc: 0.823253
[399]	valid_0's auc: 0.823274
[400]	valid_0's auc: 0.823296
[401]	valid_0's auc: 0.823354
[402]	valid_0's auc: 0.823389
[403]	valid_0's auc: 0.823437
[404]	valid_0's auc: 0.823476
[405]	valid_0's auc: 0.823498
[406]	valid_0's auc: 0.823533
[407]	valid_0's auc: 0.823572
[408]	valid_0's auc: 0.823602
[409]	valid_0's auc: 0.823645
[410]	valid_0's auc: 0.823675
[411]	valid_0's auc: 0.823707
[412]	valid_0's auc: 0.823737
[413]	valid_0's auc: 0.823783
[414]	valid_0's auc: 0.823816
[415]	valid_0's auc: 0.823854
[416]	valid_0's auc: 0.823897
[417]	valid_0's auc: 0.823927
[418]	valid_0's auc: 0.823972
[419]	valid_0's auc: 0.824008
[420]	valid_0's auc: 0.82405
[421]	valid_0's auc: 0.824069
[422]	valid_0's auc: 0.824106
[423]	valid_0's auc: 0.824161
[424]	valid_0's auc: 0.824191
[425]	valid_0's auc: 0.824236
[426]	valid_0's auc: 0.824275
[427]	valid_0's auc: 0.824302
[428]	valid_0's auc: 0.824333
[429]	valid_0's auc: 0.824369
[430]	valid_0's auc: 0.824395
[431]	valid_0's auc: 0.824434
[432]	valid_0's auc: 0.824469
[433]	valid_0's auc: 0.824494
[434]	valid_0's auc: 0.824512
[435]	valid_0's auc: 0.824545
[436]	valid_0's auc: 0.824581
[437]	valid_0's auc: 0.82461
[438]	valid_0's auc: 0.824649
[439]	valid_0's auc: 0.824674
[440]	valid_0's auc: 0.824706
[441]	valid_0's auc: 0.824749
[442]	valid_0's auc: 0.824787
[443]	valid_0's auc: 0.824823
[444]	valid_0's auc: 0.82485
[445]	valid_0's auc: 0.824887
[446]	valid_0's auc: 0.82491
[447]	valid_0's auc: 0.824942
[448]	valid_0's auc: 0.824977
[449]	valid_0's auc: 0.825013
[450]	valid_0's auc: 0.825038
[451]	valid_0's auc: 0.825071
[452]	valid_0's auc: 0.82509
[453]	valid_0's auc: 0.825127
[454]	valid_0's auc: 0.825156
[455]	valid_0's auc: 0.825184
[456]	valid_0's auc: 0.825203
[457]	valid_0's auc: 0.825241
[458]	valid_0's auc: 0.825274
[459]	valid_0's auc: 0.825312
[460]	valid_0's auc: 0.825334
[461]	valid_0's auc: 0.825371
[462]	valid_0's auc: 0.825402
[463]	valid_0's auc: 0.825433
[464]	valid_0's auc: 0.825469
[465]	valid_0's auc: 0.825488
[466]	valid_0's auc: 0.825515
[467]	valid_0's auc: 0.825547
[468]	valid_0's auc: 0.825572
[469]	valid_0's auc: 0.825604
[470]	valid_0's auc: 0.825644
[471]	valid_0's auc: 0.825669
[472]	valid_0's auc: 0.825697
[473]	valid_0's auc: 0.825724
[474]	valid_0's auc: 0.825751
[475]	valid_0's auc: 0.82578
[476]	valid_0's auc: 0.825808
[477]	valid_0's auc: 0.825833
[478]	valid_0's auc: 0.825854
[479]	valid_0's auc: 0.825882
[480]	valid_0's auc: 0.825911
[481]	valid_0's auc: 0.82595
[482]	valid_0's auc: 0.825975
[483]	valid_0's auc: 0.825997
[484]	valid_0's auc: 0.826036
[485]	valid_0's auc: 0.826056
[486]	valid_0's auc: 0.826081
[487]	valid_0's auc: 0.826113
[488]	valid_0's auc: 0.826134
[489]	valid_0's auc: 0.826155
[490]	valid_0's auc: 0.826183
[491]	valid_0's auc: 0.826221
[492]	valid_0's auc: 0.826247
[493]	valid_0's auc: 0.826268
[494]	valid_0's auc: 0.826293
[495]	valid_0's auc: 0.826325
[496]	valid_0's auc: 0.82635
[497]	valid_0's auc: 0.826368
[498]	valid_0's auc: 0.826399
[499]	valid_0's auc: 0.826433
[500]	valid_0's auc: 0.826464
[501]	valid_0's auc: 0.826483
[502]	valid_0's auc: 0.826502
[503]	valid_0's auc: 0.826528
[504]	valid_0's auc: 0.826551
[505]	valid_0's auc: 0.826576
[506]	valid_0's auc: 0.826601
[507]	valid_0's auc: 0.826623
[508]	valid_0's auc: 0.826654
[509]	valid_0's auc: 0.826675
[510]	valid_0's auc: 0.826697
[511]	valid_0's auc: 0.826724
[512]	valid_0's auc: 0.826747
[513]	valid_0's auc: 0.826772
[514]	valid_0's auc: 0.826794
[515]	valid_0's auc: 0.826814
[516]	valid_0's auc: 0.826835
[517]	valid_0's auc: 0.826873
[518]	valid_0's auc: 0.8269
[519]	valid_0's auc: 0.826924
[520]	valid_0's auc: 0.826949
[521]	valid_0's auc: 0.826982
[522]	valid_0's auc: 0.826998
[523]	valid_0's auc: 0.827023
[524]	valid_0's auc: 0.82705
[525]	valid_0's auc: 0.827074
[526]	valid_0's auc: 0.827102
[527]	valid_0's auc: 0.827122
[528]	valid_0's auc: 0.827147
[529]	valid_0's auc: 0.827163
[530]	valid_0's auc: 0.827187
[531]	valid_0's auc: 0.827218
[532]	valid_0's auc: 0.82725
[533]	valid_0's auc: 0.827266
[534]	valid_0's auc: 0.827285
[535]	valid_0's auc: 0.827311
[536]	valid_0's auc: 0.827337
[537]	valid_0's auc: 0.827354
[538]	valid_0's auc: 0.827381
[539]	valid_0's auc: 0.827399
[540]	valid_0's auc: 0.827419
[541]	valid_0's auc: 0.82744
[542]	valid_0's auc: 0.827464
[543]	valid_0's auc: 0.827481
[544]	valid_0's auc: 0.827509
[545]	valid_0's auc: 0.827539
[546]	valid_0's auc: 0.827563
[547]	valid_0's auc: 0.827586
[548]	valid_0's auc: 0.827616
[549]	valid_0's auc: 0.82765
[550]	valid_0's auc: 0.827679
[551]	valid_0's auc: 0.827695
[552]	valid_0's auc: 0.827717
[553]	valid_0's auc: 0.827734
[554]	valid_0's auc: 0.827757
[555]	valid_0's auc: 0.827785
[556]	valid_0's auc: 0.827818
[557]	valid_0's auc: 0.827838
[558]	valid_0's auc: 0.82786
[559]	valid_0's auc: 0.827878
[560]	valid_0's auc: 0.827908
[561]	valid_0's auc: 0.827924
[562]	valid_0's auc: 0.827949
[563]	valid_0's auc: 0.827968
[564]	valid_0's auc: 0.827991
[565]	valid_0's auc: 0.82802
[566]	valid_0's auc: 0.828051
[567]	valid_0's auc: 0.828067
[568]	valid_0's auc: 0.828085
[569]	valid_0's auc: 0.828113
[570]	valid_0's auc: 0.828129
[571]	valid_0's auc: 0.828146
[572]	valid_0's auc: 0.828167
[573]	valid_0's auc: 0.828187
[574]	valid_0's auc: 0.828218
[575]	valid_0's auc: 0.82825
[576]	valid_0's auc: 0.828267
[577]	valid_0's auc: 0.828285
[578]	valid_0's auc: 0.828318
[579]	valid_0's auc: 0.82834
[580]	valid_0's auc: 0.828356
[581]	valid_0's auc: 0.828387
[582]	valid_0's auc: 0.828405
[583]	valid_0's auc: 0.828425
[584]	valid_0's auc: 0.828447
[585]	valid_0's auc: 0.828467
[586]	valid_0's auc: 0.828484
[587]	valid_0's auc: 0.828506
[588]	valid_0's auc: 0.828522
[589]	valid_0's auc: 0.828545
[590]	valid_0's auc: 0.82857
[591]	valid_0's auc: 0.828599
[592]	valid_0's auc: 0.828623
[593]	valid_0's auc: 0.828636
[594]	valid_0's auc: 0.828655
[595]	valid_0's auc: 0.828674
[596]	valid_0's auc: 0.828695
[597]	valid_0's auc: 0.828721
[598]	valid_0's auc: 0.828737
[599]	valid_0's auc: 0.828762
[600]	valid_0's auc: 0.828787
[601]	valid_0's auc: 0.828802
[602]	valid_0's auc: 0.828818
[603]	valid_0's auc: 0.828838
[604]	valid_0's auc: 0.828864
[605]	valid_0's auc: 0.828896
[606]	valid_0's auc: 0.828912
[607]	valid_0's auc: 0.828926
[608]	valid_0's auc: 0.828963
[609]	valid_0's auc: 0.828979
[610]	valid_0's auc: 0.828997
[611]	valid_0's auc: 0.829012
[612]	valid_0's auc: 0.829039
[613]	valid_0's auc: 0.829065
[614]	valid_0's auc: 0.829082
[615]	valid_0's auc: 0.829098
[616]	valid_0's auc: 0.829122
[617]	valid_0's auc: 0.829141
[618]	valid_0's auc: 0.829159
[619]	valid_0's auc: 0.829173
[620]	valid_0's auc: 0.82919
[621]	valid_0's auc: 0.829205
[622]	valid_0's auc: 0.829227
[623]	valid_0's auc: 0.829245
[624]	valid_0's auc: 0.829257
[625]	valid_0's auc: 0.829274
[626]	valid_0's auc: 0.829286
[627]	valid_0's auc: 0.829308
[628]	valid_0's auc: 0.829326
[629]	valid_0's auc: 0.829337
[630]	valid_0's auc: 0.82936
[631]	valid_0's auc: 0.829387
[632]	valid_0's auc: 0.829408
[633]	valid_0's auc: 0.82942
[634]	valid_0's auc: 0.829432
[635]	valid_0's auc: 0.829452
[636]	valid_0's auc: 0.829467
[637]	valid_0's auc: 0.829489
[638]	valid_0's auc: 0.829506
[639]	valid_0's auc: 0.829529
[640]	valid_0's auc: 0.829542
[641]	valid_0's auc: 0.829553
[642]	valid_0's auc: 0.829572
[643]	valid_0's auc: 0.829588
[644]	valid_0's auc: 0.829604
[645]	valid_0's auc: 0.829628
[646]	valid_0's auc: 0.829639
[647]	valid_0's auc: 0.829653
[648]	valid_0's auc: 0.82967
[649]	valid_0's auc: 0.829686
[650]	valid_0's auc: 0.829711
[651]	valid_0's auc: 0.829733
[652]	valid_0's auc: 0.82975
[653]	valid_0's auc: 0.829768
[654]	valid_0's auc: 0.829798
[655]	valid_0's auc: 0.829814
[656]	valid_0's auc: 0.829838
[657]	valid_0's auc: 0.829854
[658]	valid_0's auc: 0.829869
[659]	valid_0's auc: 0.82988
[660]	valid_0's auc: 0.829893
[661]	valid_0's auc: 0.829909
[662]	valid_0's auc: 0.829931
[663]	valid_0's auc: 0.829946
[664]	valid_0's auc: 0.82996
[665]	valid_0's auc: 0.829975
[666]	valid_0's auc: 0.829987
[667]	valid_0's auc: 0.830008
[668]	valid_0's auc: 0.830027
[669]	valid_0's auc: 0.830047
[670]	valid_0's auc: 0.830061
[671]	valid_0's auc: 0.830072
[672]	valid_0's auc: 0.830089
[673]	valid_0's auc: 0.830107
[674]	valid_0's auc: 0.830126
[675]	valid_0's auc: 0.830138
[676]	valid_0's auc: 0.830161
[677]	valid_0's auc: 0.830176
[678]	valid_0's auc: 0.830192
[679]	valid_0's auc: 0.830209
[680]	valid_0's auc: 0.830225
[681]	valid_0's auc: 0.830238
[682]	valid_0's auc: 0.830258
[683]	valid_0's auc: 0.830273
[684]	valid_0's auc: 0.83029
[685]	valid_0's auc: 0.830303
[686]	valid_0's auc: 0.830318
[687]	valid_0's auc: 0.830342
[688]	valid_0's auc: 0.830352
[689]	valid_0's auc: 0.830367
[690]	valid_0's auc: 0.830383
[691]	valid_0's auc: 0.830396
[692]	valid_0's auc: 0.83041
[693]	valid_0's auc: 0.830421
[694]	valid_0's auc: 0.830434
[695]	valid_0's auc: 0.830453
[696]	valid_0's auc: 0.830468
[697]	valid_0's auc: 0.830487
[698]	valid_0's auc: 0.830499
[699]	valid_0's auc: 0.830516
[700]	valid_0's auc: 0.83053
[701]	valid_0's auc: 0.830547
[702]	valid_0's auc: 0.830559
[703]	valid_0's auc: 0.830575
[704]	valid_0's auc: 0.83059
[705]	valid_0's auc: 0.830599
[706]	valid_0's auc: 0.830614
[707]	valid_0's auc: 0.83063
[708]	valid_0's auc: 0.830643
[709]	valid_0's auc: 0.830661
[710]	valid_0's auc: 0.830677
[711]	valid_0's auc: 0.830686
[712]	valid_0's auc: 0.830714
[713]	valid_0's auc: 0.830729
[714]	valid_0's auc: 0.830743
[715]	valid_0's auc: 0.83076
[716]	valid_0's auc: 0.830771
[717]	valid_0's auc: 0.830784
[718]	valid_0's auc: 0.8308
[719]	valid_0's auc: 0.830814
[720]	valid_0's auc: 0.830843
[721]	valid_0's auc: 0.830856
[722]	valid_0's auc: 0.830873
[723]	valid_0's auc: 0.830887
[724]	valid_0's auc: 0.830907
[725]	valid_0's auc: 0.830919
[726]	valid_0's auc: 0.830935
[727]	valid_0's auc: 0.830952
[728]	valid_0's auc: 0.830974
[729]	valid_0's auc: 0.830996
[730]	valid_0's auc: 0.831009
[731]	valid_0's auc: 0.831022
[732]	valid_0's auc: 0.831037
[733]	valid_0's auc: 0.83105
[734]	valid_0's auc: 0.831061
[735]	valid_0's auc: 0.831075
[736]	valid_0's auc: 0.831089
[737]	valid_0's auc: 0.831105
[738]	valid_0's auc: 0.831116
[739]	valid_0's auc: 0.83113
[740]	valid_0's auc: 0.831141
[741]	valid_0's auc: 0.831161
[742]	valid_0's auc: 0.831175
[743]	valid_0's auc: 0.831199
[744]	valid_0's auc: 0.831212
[745]	valid_0's auc: 0.831228
[746]	valid_0's auc: 0.831239
[747]	valid_0's auc: 0.83125
[748]	valid_0's auc: 0.831264
[749]	valid_0's auc: 0.831277
[750]	valid_0's auc: 0.83129
[751]	valid_0's auc: 0.831305
